 Iter cont_resid imp_resid energy_resid
6970 0.057739 0.013711 0.024744
6980 0.057152 0.013625 0.024627
6990 0.056570 0.013534 0.024510
7000 0.055992 0.013440 0.024391
7010 0.055419 0.013342 0.024266
7020 0.054848 0.013241 0.024134
7030 0.054281 0.013137 0.024000
7040 0.053714 0.013045 0.023871
7050 0.053148 0.012957 0.023770
7060 0.052610 0.012866 0.023748
7070 0.052316 0.012772 0.023720
7080 0.052133 0.012722 0.023677
7090 0.051955 0.012702 0.023620
7100 0.051800 0.012686 0.023547
7110 0.051668 0.012667 0.023465
7120 0.051499 0.012644 0.023388
7130 0.051271 0.012608 0.023284
7140 0.050984 0.012562 0.023164
7150 0.050652 0.012512 0.023029
7160 0.050279 0.012496 0.022880
7170 0.049861 0.012489 0.022717
7180 0.049401 0.012475 0.022552
7190 0.048903 0.012452 0.022384
7200 0.048392 0.012421 0.022202
7210 0.047891 0.012383 0.022008
7220 0.047389 0.012336 0.021803
7230 0.046879 0.012281 0.021591
7240 0.046355 0.012219 0.021400
7250 0.045832 0.012149 0.021201
7260 0.045299 0.012072 0.020995
7270 0.044756 0.011988 0.020784
7280 0.044202 0.011898 0.020570
7290 0.043642 0.011801 0.020350
7300 0.043073 0.011699 0.020122
7310 0.042502 0.011592 0.019884
7320 0.041928 0.011481 0.019639
7330 0.041349 0.011365 0.019386
7340 0.040767 0.011247 0.019125
7350 0.040178 0.011134 0.018909
7360 0.039603 0.011017 0.018704
7370 0.039182 0.010898 0.018489
7380 0.038765 0.010804 0.018275
7390 0.038335 0.010727 0.018055
7400 0.037899 0.010648 0.017826
7410 0.037456 0.010565 0.017588
7420 0.037002 0.010481 0.017341
7430 0.036518 0.010389 0.017079
7440 0.036027 0.010294 0.016807
7450 0.035540 0.010197 0.016530
7460 0.035050 0.010099 0.016249
7470 0.034563 0.010001 0.015965
7480 0.034069 0.009935 0.015683
7490 0.033571 0.009867 0.015403
7500 0.033068 0.009811 0.015123
7510 0.032561 0.009753 0.014845
7520 0.032052 0.009692 0.014569
7530 0.031542 0.009629 0.014302
7540 0.031032 0.009564 0.014039
7550 0.030528 0.009497 0.013779
7560 0.030024 0.009428 0.013524
7570 0.029523 0.009357 0.013273
7580 0.029024 0.009285 0.013027
7590 0.028529 0.009210 0.012787
7600 0.028038 0.009134 0.012552
7610 0.027552 0.009055 0.012322
7620 0.027071 0.008975 0.012099
7630 0.026596 0.008893 0.011882
7640 0.026128 0.008810 0.011670
7650 0.025665 0.008725 0.011465
7660 0.025210 0.008638 0.011265
7670 0.024764 0.008550 0.011071
7680 0.024330 0.008460 0.010883
7690 0.023903 0.008370 0.010699
7700 0.023483 0.008278 0.010521
7710 0.023091 0.008185 0.010349
7720 0.022711 0.008090 0.010183
7730 0.022340 0.007996 0.010022
7740 0.021980 0.007903 0.009868
7750 0.021626 0.007808 0.009718
7760 0.021278 0.007713 0.009570
7770 0.020937 0.007616 0.009437
7780 0.020598 0.007520 0.009320
