 Iter cont_resid imp_resid energy_resid
4000 0.488597 0.434043 0.369321
4010 0.475763 0.425471 0.358743
4020 0.463338 0.418153 0.353320
4030 0.462590 0.418724 0.357953
4040 0.468426 0.422811 0.376908
4050 0.470116 0.426882 0.391238
4060 0.477308 0.430435 0.403035
4070 0.471331 0.463959 0.401644
4080 0.476922 0.470509 0.411972
4090 0.487883 0.449047 0.437709
4100 0.495757 0.477879 0.449460
4110 0.504591 0.486527 0.460793
4120 0.511321 0.495212 0.470177
4130 0.512007 0.515700 0.464322
4140 0.507586 0.538548 0.465333
4150 0.502874 0.552490 0.462051
4160 0.509215 0.539643 0.467246
4170 0.506926 0.540502 0.471547
4180 0.508905 0.547864 0.478574
4190 0.509248 0.540129 0.474506
4200 0.491935 0.562993 0.463674
4210 0.482136 0.553811 0.461061
4220 0.474041 0.550644 0.462718
4230 0.472498 0.566124 0.466523
4240 0.464801 0.567312 0.472121
4250 0.462226 0.582849 0.467522
4260 0.464879 0.579776 0.466449
4270 0.461325 0.594780 0.459340
4280 0.462677 0.602626 0.458376
4290 0.458956 0.608303 0.454735
4300 0.453527 0.599646 0.450657
4310 0.449460 0.602144 0.447979
4320 0.446625 0.601965 0.441435
4330 0.437315 0.599284 0.428166
4340 0.424536 0.594660 0.417045
4350 0.409732 0.580618 0.402574
4360 0.394910 0.574012 0.390261
4370 0.376217 0.560545 0.377441
4380 0.351802 0.547781 0.354443
4390 0.331601 0.531328 0.332624
4400 0.334974 0.508095 0.320022
4410 0.357649 0.476815 0.340119
4420 0.373868 0.441163 0.353884
4430 0.378520 0.398729 0.358268
4440 0.375457 0.393038 0.349091
4450 0.352677 0.413179 0.326085
4460 0.317345 0.433954 0.286785
4470 0.292699 0.434015 0.250112
4480 0.310391 0.414630 0.259438
4490 0.341666 0.377370 0.293723
4500 0.362712 0.332610 0.320171
4510 0.364390 0.302023 0.324809
4520 0.344722 0.300377 0.310199
4530 0.305814 0.322606 0.274431
4540 0.280393 0.367070 0.241494
4550 0.275807 0.388124 0.235038
4560 0.288114 0.386268 0.241991
4570 0.315953 0.380919 0.264258
4580 0.336658 0.352164 0.287121
4590 0.344982 0.312427 0.297675
4600 0.343512 0.289332 0.289189
4610 0.338390 0.277042 0.279589
4620 0.335064 0.269934 0.272697
4630 0.327876 0.262317 0.262667
4640 0.318693 0.272574 0.254479
4650 0.306917 0.293815 0.242622
4660 0.291816 0.323919 0.231940
4670 0.291227 0.335055 0.232647
4680 0.302860 0.327520 0.245078
4690 0.317481 0.316222 0.262035
4700 0.330472 0.308006 0.275026
4710 0.338678 0.295742 0.280137
4720 0.339266 0.278035 0.280287
4730 0.332421 0.256862 0.270493
4740 0.320697 0.249041 0.253121
4750 0.314191 0.258899 0.240987
4760 0.311485 0.274632 0.236567
4770 0.311033 0.278926 0.232657
4780 0.312460 0.272157 0.231598
4790 0.317016 0.272798 0.240420
4800 0.322141 0.281381 0.250879
4810 0.324949 0.282369 0.254391
4820 0.326029 0.274267 0.257178
4830 0.328732 0.261241 0.261081
